product_id,url,name,brand,sku,category,category_path,price,currency,pack_size,availability,description,specifications,image_urls,variants,alternative_products,extraction_method,missing_fields,scraped_at
64e4b1f89735d130,https://www.safcodental.com/product/ocean-pacific-sup-reg-sup-neonatural-sup-trade-sup,Ocean Pacific NeoNatural,Medicom,DRDAS,Dental Exam Gloves,"[""Dental Exam Gloves"", ""Chloroprene gloves""]",23.49,USD,100 gloves per box,in_stock,"Powder-free chloroprene examination gloves.
Polychlorprene exam gloves combine the softness of latex with the strength of nitrile for reliable protection without sacrificing comfort or dexterity.

Textured fingertip finish
Beaded cuff
Ambidextrous
Emerald green color
Thickness: at palm 3.1 mils; at fingertip 4 mils
100 gloves per box
Order 10 boxes to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drdas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",[],[],rules,[],2026-07-01T07:48:49.819668Z
4a7427817674f6d5,https://www.safcodental.com/product/microflex-sup-reg-sup-neogard-trade-touch,Microflex Neogard Touch,Ansell,DRDAR,Dental Exam Gloves,"[""Dental Exam Gloves"", ""Chloroprene gloves""]",37.99,USD,200 gloves per box,in_stock,"Powder-free chloroprene exam gloves.
Thin, ultralight, neoprene exam glove designed for heightened tactile sensitivity. US Ergonomics certified for exceptional wet grip.
Features ERGOFORM&trade; technology to reduce stress on joints, ligaments, and tendons in the hands and wrists.

Textured fingertip finish
Beaded cuff
Ambidextrous
Green color
Thickness: at palm 2.8 mils; at fingertip 3.5 mils
200 gloves per box (180 per box in size XL)
Order 10 boxes to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drdar.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",[],[],rules,[],2026-07-01T07:48:51.819158Z
5afcd4faa961740c,https://www.safcodental.com/product/true-comfort-reg-blu,True Comfort Blu,Dash,DRDAQ,Dental Exam Gloves,"[""Dental Exam Gloves"", ""Chloroprene gloves""]",18.99,USD,,in_stock,"Powder-free, latex-free, chloroprene examination gloves.
Unrivaled wet grip, increased touch sensitivity, and silky smooth comfort. Chemotherapty drug rated.

Textured fingertip finish
Beaded cuff
Ambidextrous
Ocean blue color
Thickness: at palm 2.4 mils; at fingertip 3.1 mils
To purchase a full case, please order as qty of 10 boxes",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drdaq.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",[],[],rules,[],2026-07-01T07:48:53.819606Z
60f4bd5e1145204e,https://www.safcodental.com/product/safco-ez-green-chloroprene,Safco EZ Green Chloroprene,Safco,DRDAP,Dental Exam Gloves,"[""Dental Exam Gloves"", ""Chloroprene gloves""]",17.99,USD,200 gloves per box,in_stock,"Powder-free chloroprene examination gloves.
Similar feel and elasticity to that of latex without the risk of allergic reation to latex proteins. Provides supreme tactile sensitivity.

Textured fingertip finish
Beaded cuff
Ambidextreous
Green color
Thickness: at palm 3.0 mils; at fingertips 3.5 mils
200 gloves per box
Order 10 boxes to purchase a case

&nbsp;",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drdap.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",[],[],rules,[],2026-07-01T07:48:57.502235Z
88460543357e636b,https://www.safcodental.com/product/microflex-sup-reg-sup-neosoft-trade,Microflex NeoSoft,Ansell,DRDAN,Dental Exam Gloves,"[""Dental Exam Gloves"", ""Chloroprene gloves""]",18.49,USD,100 gloves per box,in_stock,"Powder-free chloroprene examination gloves.
Features HYDRASOFT&trade; technology that provides 2x more moisture retention.

Textured fingertip finish
Beaded cuff
Ambidextrous
Chloroprene (neoprene)
Green color
Polymer coated for easy donning
Thickness: at palm 2.8&nbsp; mils; at fingertip 3.5 mils
100 gloves per box
Order 10 boxes&nbsp;to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drdan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",[],[],rules,[],2026-07-01T07:48:59.294749Z
87091b88b8d0cad2,https://www.safcodental.com/product/aquaprene-reg,AquaPrene,Cranberry,DRDAL,Dental Exam Gloves,"[""Dental Exam Gloves"", ""Chloroprene gloves""]",33.99,USD,200 gloves per box,in_stock,"Powder-free&nbsp;chloroprene&nbsp;examination gloves.
Combines the comfort of latex and the strength of nitrile.

Textured fingertip finish
Beaded cuff
Ambidextrous
Aqua blue color
Thickness: at palm 2.8 mils; at fingertip3.5 mils; &plusmn;0.8
200 gloves per box
Order 10 boxes&nbsp;to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drdal_2.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",[],[],rules,[],2026-07-01T07:49:01.489177Z
97643d3bf9daaf4c,https://www.safcodental.com/product/flexaprene-green,Flexaprene Green,Halyard,DRDAI,Dental Exam Gloves,"[""Dental Exam Gloves"", ""Chloroprene gloves""]",28.59,USD,200 gloves per box,in_stock,"Powder-free chloroprene examination gloves.

Fingertip textured
Beaded cuff
Ambidextrous
Chloroprene (Neoprene)
Green color
Polymer coated for easy donning
Thickness: at palm 3.0 mils; at fingertip 3.5 mils
200 gloves per box&nbsp;
Order 10 boxes&nbsp;to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drdai.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",[],[],rules,[],2026-07-01T07:49:03.072912Z
102b50ec8efb721e,https://www.safcodental.com/product/beesure-reg-neogrene-trade,BeeSure NeoGrene,EcoBee,DRDAH,Dental Exam Gloves,"[""Dental Exam Gloves"", ""Chloroprene gloves""]",31.79,USD,200 gloves per box,in_stock,"Powder-free&nbsp;chloroprene&nbsp;examination gloves.

Textured fingertip finish
Beaded cuff
Ambidextrous
Green color
Polymer coated for easy donning
Thickness: at palm 3.2 mils; at fingertip 3.4 mils; &plusmn;0.2
200 gloves per box
Order 10 boxes&nbsp;to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drdah.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",[],[],rules,[],2026-07-01T07:49:05.273894Z
4decb6486fed12be,https://www.safcodental.com/product/micro-touch-sup-reg-sup-affinity-sup-reg-sup,Micro-Touch Affinity,Ansell,DRDAG,Dental Exam Gloves,"[""Dental Exam Gloves"", ""Chloroprene gloves""]",32.99,USD,100 gloves per box,in_stock,"Powder-free Neoprene&nbsp;(polychloroprene)&nbsp;exam gloves.

Textured fingertips finish&nbsp;
Beaded cuff&nbsp;
Ambidextrous
Neoprene&nbsp;
Green color
Polymer coated for easy donning&nbsp;
Thickness: at palm 5.1 mils; at fingertip 6.3 mils&nbsp;
100 gloves per box
Order 10 boxes&nbsp;to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drdag.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",[],[],rules,[],2026-07-01T07:49:07.088088Z
8a873b3f84430bb2,https://www.safcodental.com/product/microflex-sup-reg-sup-neogard-sup-reg-sup,Neogard,Ansell,DRDAF,Dental Exam Gloves,"[""Dental Exam Gloves"", ""Chloroprene gloves""]",32.99,USD,100 gloves per box,in_stock,"Powder-free&nbsp;chloroprene&nbsp;exam gloves.
Exceptional tactile&nbsp;sensitivity. Excellent wet and dry grip. Stretchy soft comfort.

Textured fingertip finish
Beaded cuff
Ambidextrous
Chloroprene
Polymer coated for easy donning
Green color
Thickness: at palm 3.9 mils; at fingertip 5.1 mils
100 gloves per box
Order 10 boxes&nbsp;to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drdaf.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",[],[],rules,[],2026-07-01T07:49:09.078590Z
fdeee98b791c603d,https://www.safcodental.com/product/nuvo-trade-drdae,Nuvo&trade;,Safco Dental,DRDAE,Dental Exam Gloves,"[""Dental Exam Gloves"", ""Chloroprene gloves""]",7.49,USD,100 gloves per box,out_of_stock,"Powder-free vinyl exam gloves.

Smooth finish
Beaded cuff
Ambidexterous
Vinyl
White color
100 gloves per box
10 boxes in a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drdae.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",[],[],rules,[],2026-07-01T07:49:10.767894Z
d8232dce4df280b4,https://www.safcodental.com/product/microflex-sup-reg-sup-neopro-sup-reg-sup,Microflex NeoPro,Ansell,DRDAC,Dental Exam Gloves,"[""Dental Exam Gloves"", ""Chloroprene gloves""]",35.49,USD,100 gloves per box,in_stock,"Powder-free chloroprene examination gloves.

Textured whole hand finish
Beaded cuff
Ambidextrous
Chloroprene
Green color
Polymer coated for easy donning
Thickness: at palm 5.1&nbsp; mils; at fingertip 6.7 mils
100 gloves per box
Order 10 boxes&nbsp;to purchase a case",{},"[""https://www.safcodental.com/media/catalog/product/d/r/drdac.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds""]",[],[],rules,[],2026-07-01T07:49:13.096847Z
